job_id,title,company_name_raw,company_name_clean,state_clean,state_abbr,city_raw,remote_status,employment_type,salary_min_annual,salary_max_annual,salary_source,experience_min_years,experience_source,education_level,education_source,soc_code,soc_name,soc_quality_flag,onet_code,onet_name,naics_code,naics_name,skills,posted_at,apply_url
227287,Senior Analytics Engineer - Healthcare & Benefits,Abett,Abett,Washington,WA,Seattle,unknown,Contract,166400.0,208000.0,hourly_converted,6,parsed_from_text,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Ad Hoc Analysis; Analytics; Benchmarking; Business Intelligence,2026-06-24,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4277914
227288,Data Engineer,Entarian,Entarian,Pennsylvania,PA,Mechanicsburg,onsite,Other,,,missing,10,parsed_from_text,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",AWS Certified Solutions Architect; Amazon Aurora; Apache Hadoop; Big Data; Business Intelligence; Business Intelligence Tools; Business Requirements,2026-06-24,https://careers-entarian.icims.com/jobs/9674/data-engineer/job
273655,Research Associate Data Scientist,Hdkk.fa.us6.oraclecloud.com,Unknown employer (ATS-hosted posting),California,CA,Los Angeles,unknown,,97510.0,133100.0,parsed_from_description_text,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Algorithms; Applied Mathematics; Artificial Intelligence; Azure DevOps,2026-06-24,https://hdkk.fa.us6.oraclecloud.com/?keyword=&mode=jobs&lang=en&site_number=CX_1#18558
274875,Data Engineer,Fa-Etbx-Saasfaprod1.fa.ocs.oraclecloud.com,Unknown employer (ATS-hosted posting),Virginia,VA,Vienna,unknown,,,,missing,,not_found,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-24,https://fa-etbx-saasfaprod1.fa.ocs.oraclecloud.com/?keyword=&mode=jobs&lang=en&site_number=nfcu#30845
275386,Principal Data Engineer - FLINK,Hcgn.fa.us2.oraclecloud.com,Unknown employer (ATS-hosted posting),Unknown,US-UNK,,unknown,,,,missing,8,parsed_from_text,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics; Architecture Strategy; Automation; Banking; Big Data; Business Operations,2026-06-24,https://hcgn.fa.us2.oraclecloud.com/?keyword=&mode=jobs&lang=en&site_number=CX_1#47240
276229,Forward Deployed Analytics Engineer & AI Specialist,Careers.snowflake.com,Snowflake,California,CA,Menlo Park,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics,2026-06-24,https://careers.snowflake.com/job/df8a6aba-37ee-45cb-ba5e-d001662591aa
276554,"Scientist II, Data Scientist, Bioprocess Digital Twin",Jobs.thermofisher.com,Thermofisher,New York,NY,New York,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Bioprocess,2026-06-24,https://jobs.thermofisher.com/job/R-01355184
277186,"Alpha Data Services - Senior Data Analyst (Investment trading data - security master, reference data, transaction lifecycle) AVP",Careers.statestreet.com,Statestreet,New Jersey,NJ,Clifton,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Advanced Analytics; Analytics,2026-06-24,https://careers.statestreet.com/job/R-785719
280903,Sr. IT Data Engineer,Xai,Xai,California,CA,Palo Alto,unknown,,135000.0,260000.0,parsed_from_description_text,5,parsed_from_text,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics; Big Data,2026-06-23,https://job-boards.greenhouse.io/xai/jobs/5167318007
281372,"Senior Machine Learning Engineer, Multimodal AI",Hike-Medical,Hike-Medical,California,CA,San Francisco,hybrid,Full Time,170000.0,300000.0,annual_reported,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Automation; Benchmarking,2026-06-23,https://jobs.ashbyhq.com/hike-medical/4bd84d75-a36d-4648-bd2e-924dc0f09741/application
283016,Senior Property Data Engineer,Ice,Ice,Florida,FL,Jacksonville,unknown,Full Time,,,missing,,not_found,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Automation,2026-06-23,https://careers-ice.icims.com/jobs/13207/senior-property-data-engineer/job?in_iframe=1
283893,Senior Data Engineer - Insurance Data Platform,Ccmsi,Ccmsi,Illinois,IL,Danville,remote,,100000.0,150000.0,parsed_from_description_text,,not_found,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-23,https://careers-ccmsi.icims.com/jobs/6655/senior-data-engineer-%e2%80%93-insurance-data-platform/job?in_iframe=1
284989,Senior Data Engineer II,Braze,Braze,New York,NY,New York,unknown,Full Time,,,missing,8,parsed_from_text,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Architectural Patterns,2026-06-23,https://www.welcometothejungle.com/en/companies/JNGHL1/jobs/senior-data-engineer-ii_new-york_s6gbrejj
285060,"Sr. Data Scientist , Companion Product & Servi (ComPAS)",Amazon,Amazon,District of Columbia,DC,Washington,unknown,Full Time,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A/B Testing; Analytics; Automation; Causal Inference,2026-06-23,https://account.amazon.jobs/jobs/10456095/apply
285157,"Senior Applied Scientist, Perimeter Protection Applied Science",Amazon,Amazon,District of Columbia,DC,Washington,unknown,Full Time,,,missing,,not_found,Not specified,missing,15-1212,Information Security Analysts,ok,15-1212.00,Information Security Analysts,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Algorithms; Application Firewall; Applied Science,2026-06-23,https://account.amazon.jobs/jobs/10456752/apply
287187,Data Analytics Engineer - Senior Associate,Jpmc.fa.oraclecloud.com,Unknown employer (ATS-hosted posting),Texas,TX,Plano,unknown,,,,missing,,not_found,Not specified,missing,41-9012,Models,likely_misclassified,41-9012.00,Models,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics; Business Metrics,2026-06-23,https://jpmc.fa.oraclecloud.com/?keyword=&mode=jobs&lang=en&site_number=CX_1001#210755191
289172,Lead Data Platform & Analytics Engineer - Money Movement Data Platform,Careers.usbank.com,Usbank,North Carolina,NC,Charlotte,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics,2026-06-23,https://careers.usbank.com/job/2026-0012001
291254,Enterprise Architect Sr (Enterprise Data Architect Sr),Careers.pnc.com,PNC,Pennsylvania,PA,Pittsburgh,unknown,,,,missing,,not_found,Not specified,missing,41-9012,Models,likely_misclassified,41-9012.00,Models,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-23,https://careers.pnc.com/job/R217380
293626,Business Analyst,Aperiasolutions,Aperiasolutions,Nebraska,NE,Omaha,unknown,Full Time,,,missing,5,parsed_from_text,Not specified,missing,13-1111,Management Analysts,ok,13-1111.00,Management Analysts,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Banking; Business Intelligence,2026-06-22,https://job-boards.greenhouse.io/aperiasolutions/jobs/5168990007
227070,DATA ANALYST NF4,U.s. Marine Corps,U.s. Marine Corps,Virginia,VA,Quantico,unknown,,,,missing,,not_found,Not specified,missing,27-2011,Actors,likely_misclassified,27-2011.00,Actors,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Accountability,2026-06-22,https://www.usajobs.gov:443/job/873815900
296045,Sr. Exploitation Specialist/Data Scientist (TS/SCI),Culmen,Culmen,Virginia,VA,Springfield,unknown,Full Time,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-22,https://careers-culmen.icims.com/jobs/4479/sr.-exploitation-specialist-data-scientist-%28ts-sci%29/job?in_iframe=1
296902,"Applied Scientist III, AWS Identity",Amazon,Amazon,California,CA,Santa Clara,unknown,Full Time,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Amazon Web Services; Analytics; Artificial Intelligence; Automated Reasoning; Billing; Billing Systems; Build Tools,2026-06-22,https://account.amazon.jobs/jobs/10454997/apply
300653,Data Analyst,Careers.cisco.com,Cisco,North Carolina,NC,Research Triangle Park,hybrid,,,,missing,,not_found,Not specified,missing,15-1212,Information Security Analysts,ok,15-1212.00,Information Security Analysts,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics,2026-06-22,https://careers.cisco.com/job/2011265
301734,Data Scientist I - Fraud Reporting,Careers.truist.com,Truist,North Carolina,NC,Charlotte,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics,2026-06-22,https://careers.truist.com/job/R0115931
303081,Risk Data Scientist,Careers.regions.com,Regions,Alabama,AL,Hoover,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-22,https://careers.regions.com/job/R102594
304829,Senior Data Analyst,Forge,Forge,California,CA,San,unknown,Full Time,98000.0,100000.0,annual_reported,4,parsed_from_text,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A/B Testing; Analytics; Automation,2026-06-21,https://www.welcometothejungle.com/en/companies/zGrss6/jobs/senior-data-analyst_san-francisco_6oqdzddd
307225,Director of Customer Success Data Engineering,Toast,Toast,Massachusetts,MA,,unknown,Full Time,188000.0,301000.0,annual_reported,10,parsed_from_text,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",AI Agents; Airflow; Analytics,2026-06-20,https://www.welcometothejungle.com/en/companies/sLjAlJ/jobs/director-of-customer-success-data-engineering_boston_cncsywyt
311513,Data Engineer,Regard,Regard,New York,NY,New York,unknown,Full Time,140000.0,175000.0,annual_reported,,not_found,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics,2026-06-19,https://www.welcometothejungle.com/en/companies/Bnuig6/jobs/data-engineer_new-york_2ovhlhkp
311753,"Data Engineer, PV Prime Video TV - Tech",Amazon,Amazon,District of Columbia,DC,Washington,unknown,Full Time,,,missing,,not_found,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",AWS Big Data; Analytics; Big Data; Business Intelligence,2026-06-19,https://account.amazon.jobs/jobs/10453867/apply
313870,Senior Business Analyst,Evac.fa.us2.oraclecloud.com,Unknown employer (ATS-hosted posting),California,CA,Irvine,hybrid,,,,missing,,not_found,Not specified,missing,13-1111,Management Analysts,ok,13-1111.00,Management Analysts,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-19,https://evac.fa.us2.oraclecloud.com/?keyword=&mode=jobs&lang=en&site_number=CX_1#439872
318664,Data Scientist (Senior),Peraton,Peraton,Virginia,VA,Hampton,unknown,Full Time,,,missing,,not_found,Master's,parsed_from_text,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-18,https://careers-peraton.icims.com/jobs/165410/data-scientist-%28senior%29/job?in_iframe=1
319471,"Senior Manager, Data Architecture & Platforms",Cravath,Cravath,New York,NY,New York,unknown,Full Time,,,missing,,not_found,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics,2026-06-18,https://careers-cravath.icims.com/jobs/3532/senior-manager%2c-data-architecture-%26-platforms/job?in_iframe=1
320773,"Senior Machine Learning Engineer, User Signal & Ads",Newsbreak,Newsbreak,District of Columbia,DC,Washington,unknown,Full Time,,,missing,5,parsed_from_text,Master's,parsed_from_text,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A/B Testing; Bidding; Business Metrics,2026-06-18,https://job-boards.greenhouse.io/newsbreak/jobs/4690328006
320820,Senior Machine Learning Engineer (Perception Detection and Tracking),Zoox,Zoox,California,CA,Foster City,remote,Full Time,214000.0,290000.0,annual_reported,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Algorithms,2026-06-18,https://www.welcometothejungle.com/en/companies/W6IYbU/jobs/senior-machine-learning-engineer-perception-detection-and-tracking_boston_on4mksn5
320923,Senior Data Analyst,Forge,Forge,New York,NY,New York,unknown,Full Time,98000.0,100000.0,annual_reported,4,parsed_from_text,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",A/B Testing; Analytics; Automation,2026-06-18,https://www.welcometothejungle.com/en/companies/zGrss6/jobs/senior-data-analyst_new-york_h4o6azc4
323852,Financial Data Analyst,Careers.usbank.com,Usbank,Minnesota,MN,Minneapolis,unknown,,,,missing,,not_found,Not specified,missing,15-2051*,Data Scientists*,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-18,https://careers.usbank.com/job/2026-0010790
324632,Data Scientist II - Fraud Reporting,Careers.truist.com,Truist,North Carolina,NC,Charlotte,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics,2026-06-18,https://careers.truist.com/job/R0114416
324517,Sr. Principal Data Scientist,Careers.wbd.com,WBD,Georgia,GA,Atlanta,unknown,,,,missing,,not_found,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-18,https://careers.wbd.com/job/R000106484
325595,Senior Business Intelligence & Data Analyst - Data Governance,Jobs.tjx.com,TJX,Massachusetts,MA,Framingham,unknown,,,,missing,,not_found,Not specified,missing,15-2051*,Data Scientists*,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Business Intelligence,2026-06-18,https://jobs.tjx.com/job/REQ122942
328383,"Senior Data Scientist, Audience Analytics for Healthy Communities",Fors Marsh,Fors Marsh,Unknown,US-UNK,,remote,Full Time,92000.0,105000.0,annual_reported,5,parsed_from_text,PhD,parsed_from_text,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics; Audience Segmentation; Campaign Management,2026-06-17,https://fors-marsh-group.breezy.hr/p/eb3a805398c6-senior-data-scientist-audience-analytics-for-healthy-communities
332587,Senior AI/ML Engineer,Sigma Computing,Sigma Computing,California,CA,San,unknown,Full Time,240000.0,270000.0,annual_reported,10,parsed_from_text,Not specified,missing,41-9012,Models,likely_misclassified,41-9012.00,Models,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-17,https://www.welcometothejungle.com/en/companies/5q6lZX/jobs/senior-ai-ml-engineer_san-francisco_rru6gdir
332590,Staff AI/ML Engineer,Sigma Computing,Sigma Computing,California,CA,San,unknown,Full Time,240000.0,270000.0,annual_reported,10,parsed_from_text,Not specified,missing,41-9012,Models,likely_misclassified,41-9012.00,Models,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-17,https://www.welcometothejungle.com/en/companies/5q6lZX/jobs/staff-ai-ml-engineer_san-francisco_ljlr5l2w
332682,Machine Learning Engineer,Handshake,Handshake,California,CA,San,unknown,Full Time,151000.0,189000.0,annual_reported,3,parsed_from_text,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics; Business Metrics,2026-06-17,https://www.welcometothejungle.com/en/companies/rJbVPm/jobs/machine-learning-engineer_san-francisco_ofei25e7
332777,Senior Machine Learning Engineer (Machine Learning / Artificial Intelligence),Lyra Health,Lyra Health,Unknown,US-UNK,,unknown,Full Time,143000.0,197000.0,annual_reported,6,parsed_from_text,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics; Artificial Intelligence; Building Consensus,2026-06-17,https://www.welcometothejungle.com/en/companies/5HjZS5/jobs/senior-machine-learning-engineer-machine-learning-artificial-intelligence_us_ir7vvxbs
333135,Sr. Data Engineer,Caci,Caci,Virginia,VA,Arlington,onsite,Contract,103800.0,218100.0,parsed_from_description_text,7,parsed_from_text,Master's,parsed_from_text,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics; Artificial Intelligence; Automation; Azure Data Factory; Azure Data Lake; Azure Databricks; Azure Synapse Analytics; Big Data; Business Requirements; Business Success,2026-06-17,https://caci.eightfold.ai/careers/job/1443151044482
334463,"Business Analyst, Data & AI",Hdow.fa.us6.oraclecloud.com,Unknown employer (ATS-hosted posting),New York,NY,,unknown,,,,missing,,not_found,Not specified,missing,13-1111,Management Analysts,ok,13-1111.00,Management Analysts,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-17,https://hdow.fa.us6.oraclecloud.com/?keyword=&mode=jobs&lang=en&site_number=CX_1#249000
340228,Lead Data Architect,Steampunk,Steampunk,Virginia,VA,McLean,unknown,,,,missing,,not_found,Not specified,missing,,,ok,,Not specified,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-16,https://careers-steampunk.icims.com/jobs/7840/lead-data-architect/job?in_iframe=1
351418,Senior Staff Analytics Engineer,Flex,Flex,New York,NY,New York,unknown,Full Time,200000.0,240000.0,annual_reported,6,parsed_from_text,Not specified,missing,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics; Business Requirements,2026-06-15,https://www.welcometothejungle.com/en/companies/A7oHH2/jobs/senior-staff-analytics-engineer_new-york_ar35ogv3
352929,CCBTA Data Architect Senior Associate,Jpmc.fa.oraclecloud.com,Unknown employer (ATS-hosted posting),Ohio,OH,Columbus,unknown,,,,missing,,not_found,Not specified,missing,,,ok,,Not specified,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-15,https://jpmc.fa.oraclecloud.com/?keyword=&mode=jobs&lang=en&site_number=CX_1001#210756883
358076,Staff Data Scientist (Pricing),GoFundMe,GoFundMe,California,CA,San,unknown,Full Time,179500.0,269500.0,annual_reported,8,parsed_from_text,PhD,parsed_from_text,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Applied Economics; Applied Research; Behavioral Modeling; Causal Inference,2026-06-14,https://www.welcometothejungle.com/en/companies/iz6A9J/jobs/staff-data-scientist_san-francisco_g3umymgo
358680,Data Engineer - - Denver Tech Center / OVG NY Corporate,Comcastspectacor,Comcastspectacor,Colorado,CO,Denver | Ny New York,unknown,Full Time,,,missing,,not_found,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-13,https://careers-ovg.icims.com/jobs/32073/data-engineer-%7c-full-time-%7c-denver-tech-center---ovg-ny-corporate/job?in_iframe=1
359735,Senior AI/ML Engineer,Sigma Computing,Sigma Computing,New York,NY,New York,unknown,Full Time,240000.0,270000.0,annual_reported,10,parsed_from_text,Not specified,missing,41-9012,Models,likely_misclassified,41-9012.00,Models,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-13,https://www.welcometothejungle.com/en/companies/5q6lZX/jobs/senior-ai-ml-engineer_new-york_ngm7rcen
359745,Staff AI/ML Engineer,Sigma Computing,Sigma Computing,New York,NY,New York,unknown,Full Time,,,missing,10,parsed_from_text,Not specified,missing,41-9012,Models,likely_misclassified,41-9012.00,Models,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,2026-06-13,https://www.welcometothejungle.com/en/companies/5q6lZX/jobs/staff-ai-ml-engineer_new-york_i3ahmkcn
359782,Staff ML Engineer (Audio),Reality Defender,Reality Defender,New York,NY,New York,unknown,Full Time,185000.0,235000.0,annual_reported,2,parsed_from_text,PhD,parsed_from_text,41-9012,Models,likely_misclassified,41-9012.00,Models,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics; Benchmarking,2026-06-13,https://www.welcometothejungle.com/en/companies/Uu7gDo/jobs/staff-ml-engineer-audio_new-york_q5qqsnte
359895,Senior Data Engineer,Headway,Headway,Unknown,US-UNK,,unknown,Full Time,180000.0,225000.0,annual_reported,6,parsed_from_text,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Airflow,2026-06-13,https://www.welcometothejungle.com/en/companies/NUF15B/jobs/senior-data-engineer_washington_twwuxkrg
360735,Data Engineer,Plus-2,Plus-2,California,CA,Santa Clara,unknown,Full Time,135000.0,180000.0,annual_reported,1,parsed_from_text,Not specified,missing,15-1243,Database Architects,ok,15-1243.00,Database Architects,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics; Autonomous Vehicles; Big Data,2026-06-12,https://jobs.lever.co/plus-2/083142f4-70ed-40f4-8726-a5f99ea52e36/apply
360885,ML Engineer - Instawork Robotics,Instawork,Instawork,California,CA,San Francisco,onsite,,170000.0,200000.0,parsed_from_description_text,4,parsed_from_text,PhD,parsed_from_text,15-2051,Data Scientists,ok,15-2051.00,Data Scientists,518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Analytics,2026-06-12,https://job-boards.greenhouse.io/instawork/jobs/4686498006
